ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
dkfhfaphfkopdgpbfkebjfcblcafcmpi,1,0,0,1,0,0,1,1,1,1,1,0
nijeoebbcgjnekbideohdhbohobddkjf,1,0,0,1,0,0,0,1,1,1,1,0
cjkcilgamfnfjjihedicolcnfljkmkjl,0,0,0,0,0,0,0,1,1,0,0,0
cfdgblchocpmmapjnigmabddneneafnh,1,0,0,1,1,0,1,1,1,0,0,0
bhghoamapcdpbohphigoooaddinpkbai,1,0,1,1,0,0,1,1,1,0,1,0
ldpochfccmkkmhdbclfhpagapcfdljkj,1,0,0,1,0,0,1,1,1,0,1,0
majdfhpaihoncoakbjgbdhglocklcgno,1,0,1,1,1,0,1,1,1,0,1,0
ckjogkiieodbdmkeabpnhdaagilainco,1,0,0,1,0,0,1,1,1,0,1,0
cnkdjjdmfiffagllbiiilooaoofcoeff,1,0,0,1,0,0,1,1,1,1,1,0
amlielhlgedcjnbkilihjhoheammcbgm,0,0,0,1,1,0,1,1,1,1,1,0
meffljleomgifbbcffejnmhjagncfpbd,1,0,1,1,0,0,1,1,1,1,1,0
gdojjgflncpbcfmenbkndfhoamlhajmf,1,0,0,1,0,0,1,1,1,0,1,0
mcmdolplhpeopapnlpbjceoofpgmkahc,1,0,0,1,0,0,1,1,1,0,1,0
ecgmlkepbnhcipjbjdoibkobilceeofa,0,0,0,1,0,0,1,1,1,0,1,0
mdnleldcmiljblolnjhpnblkcekpdkpa,0,0,0,1,0,0,1,1,1,0,1,0
agdbgmnajalcgckpbfghgkoglkecpfhm,0,0,0,0,0,0,1,1,1,0,1,0
kmeijfochmidimcngicjabokhkeifmmj,1,0,1,1,0,1,1,1,1,0,0,0
eanjghlmjhfkhbgmgoagdofgmbnmpjle,1,0,0,1,0,0,1,1,1,1,1,0
pnmaklegiibbioifkmfkgpfnmdehdfan,1,0,0,1,0,0,1,1,1,1,1,0
obdgheeibdpfijadkmnlpiofnafocmfk,1,0,0,1,0,0,0,1,1,0,1,0
alncdjedloppbablonallfbkeiknmkdi,0,0,0,0,0,0,1,1,1,1,1,0
ljhnljhabgjcihjoihakgdiicdjncpkd,1,0,0,1,0,0,1,1,1,0,1,0
jannchdahcpeomkijhnajendgeliepmp,1,0,0,1,0,0,1,1,1,0,1,0
jaoafpkngncfpfggjefnekilbkcpjdgp,1,0,0,1,1,0,1,1,1,0,1,0
jmcfgfebjmfodjnmgicmkpkbpbfelhki,0,0,0,0,0,0,1,1,1,1,1,0
nffdigbhnachjecalnikkfemjbnbbgab,1,1,0,1,0,0,1,1,1,0,1,0
gcihackglhkfinndffhemefinhlmagfe,1,0,0,1,0,0,1,1,1,0,1,0
eldlkpeoddgbmpjlnpfblfpgodnojfjl,0,0,0,0,0,0,1,1,1,0,1,0
fnplkbhndemgbopkkpmpnfklkhphpneg,1,0,0,1,0,0,1,1,1,0,1,0
ifjafammaookpiajfbedmacfldaiamgg,1,0,0,1,0,0,1,1,1,0,1,0
admkplalkphcdkbkapdmkmobilbhmplp,1,0,0,1,1,0,0,1,1,0,0,0
ajnmfincdldfcodgpglmolicgglkdeof,1,0,1,1,0,0,1,1,1,0,1,0
nomeamlnnhgiickcddocjalmlhdfknpo,1,0,0,1,0,0,1,1,1,0,1,0
imfdgigjipejmkocpklhdkokdplilceo,1,0,0,1,0,0,0,1,1,0,1,0
bfbmjmiodbnnpllbbbfblcplfjjepjdn,0,0,1,0,0,0,1,1,1,1,0,0
dlpiaeofjhnjeckpjcbhmnifdejoikpa,1,0,0,1,0,0,0,1,1,0,1,0
booiapffgjfohmjalmkkndnpkkkfoain,0,0,0,0,0,0,1,1,1,0,1,0
cfpbjggdmogjceodagocpbmikhdoaokn,1,0,0,1,0,0,0,1,1,0,1,0
fdjglnlhapkoahdmanogpccpmmpnakje,1,0,0,1,0,0,1,1,1,1,0,0
giidlnpcdhcldhfccdhkaicefhpokghc,1,0,0,1,0,0,1,1,1,0,1,0
kbmipnjdeifmobkhgogdnomkihhgojep,1,0,0,1,1,0,1,1,1,0,0,0
lljedihjnnjjefafchaljkhbpfhfkdic,1,0,0,1,0,0,1,1,1,0,1,0
akbdooghbmenilbdgkpapgliaplhgjeb,1,0,0,1,0,0,0,1,1,0,1,0
fpljkobkodmnmldgodfefnmjgjlljbjn,0,0,0,0,0,0,1,1,1,0,1,1
