ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
clknajphkicnepcpecgjghccmmkhcagc,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,12
klhpehdhdohjpnammbkecooemnklnino,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,8
aeampjcahpidlojklaijajmkfhdmicdp,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,8
pgmaidhfoodebfiocgananbdfnankehm,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,9
lhghlnlmbjoanpjmbnlfafmlfjillmfm,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,9
hocikkbhhnohmdfcoljccffnggiaaodl,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,11
iebdnijpaiebfijdcagjjmiblcdidpmp,Accessibility,1,0,0,1,0,0,0,0,1,1,0,0,6
bnceafpojmnimbnhamaeedgomdcgnbjk,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,8
leicmnaljidmbanjbfkjhfjimdcgoeel,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,6
hbnfpklocphfmpljdmmjmmmfaepiaacg,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
ellmmiehdcccalmmdfpoeeablbpnihac,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
njgkbgfkgecignmhfnehgcnkndppbpph,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,4
baacdjbfffggbkmodigllhihmfnaiehf,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,4
dgfnpldhjmlehblnmlflcmbekmincjfh,Accessibility,1,0,0,1,0,0,0,1,1,1,1,0,9
hipojknikpmpknnpbgpondgpeepppbjk,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,7
mjdmjlhioneibalagldhfojpfdemfkol,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,2
oeccdogiekfcglkneepeaodoendiikic,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,14
lppkoakaoipaonmeedlcgnlolngopbgo,Accessibility,0,0,0,1,0,0,0,1,1,1,0,0,4
jbbckhpcmhnbccpimnielfjciikneacn,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,6
akcafbaobcipanhmmfmkpneejopclhfg,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,8
jafdabdlodjgkejpoccbigkciidafddl,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
nljmbnpnemoenbogmdnakjjapcmpioep,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,7
enaaiccdidfakbeiikclbfhgfcdfmimh,Accessibility,0,0,0,0,0,0,0,1,0,0,1,0,6
bihflffbgkhhfmcknamdaendhagkbahn,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
bafkmmmolfkcpbacoechfmhpfhnbgkmd,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,6
ccppdejlimaholikmlgedjnglaamgmca,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
ilhjhegbgdghfkdgeahkpikkjgaaoklh,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
mppmegdhndjcellnpfoccakohbhkeglg,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,7
coodfgmnlnjliaeijfanmjgmbgpdalfe,Accessibility,0,0,0,0,0,0,0,1,1,1,1,0,12
jkdoomkdcioheppgnmpakinhlgjflnem,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,5
caclkomlalccbpcdllchkeecicepbmbm,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,10
ekepppjbkcepnbcbjjfkadghiofmobln,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,5
hggofpanoenpmgaieeadjapijnoclkdl,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,5
gaedlpnklpnpgjonldlmmmnmhhadicnk,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,8
jplmbheenbhcoihdheoeipfdnamlodbm,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,12
jgejpcldaimfhfgbjekolgcmkamkanio,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,13
blmikombemiddkippgjijjgpdofliogo,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
