id,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
oblimkbkkccdjhkfljbhbekfpohjillc,Accessibility,1,0,0,1,0,0,0,2,4,4,0,0,8
gelegjgeophipalhmihfnlococjdlclm,Accessibility,2,0,0,4,0,0,0,10,9,8,1,0,11
dpmjkbfpciagadmabadpflnhlkhcaaii,Accessibility,1,0,1,1,0,0,0,4,4,4,1,0,6
ejnnjbdiehpgikhapbembdllfmolknmi,Accessibility,2,0,0,3,0,0,0,4,5,8,0,0,9
djgcpgfednpfkdhoodgiokdelmefkine,Accessibility,1,0,0,1,0,0,0,1,1,2,0,0,4
ndbdjjgcjmdenadephbmglknakcnalil,Accessibility,0,0,0,0,0,0,0,2,3,5,0,0,7
akncjgblpooaigmieecjiigaebgblnaj,Accessibility,1,0,0,2,1,0,0,2,3,4,1,0,5
enknnejopkkcbplflkjmggkgdihnphbf,Accessibility,2,0,0,2,0,0,2,8,7,7,0,0,12
okcpiimdfkpkjcbihbmhppldhiebhhaf,Accessibility,1,0,0,1,0,0,0,4,2,3,0,0,5
haonheiigpghcmjgogfbnmeehfllhbbd,Accessibility,4,0,0,4,1,0,0,4,5,6,0,0,8
noapiahhhhccobnbmaajnmadmjjaeadg,Accessibility,0,0,0,0,0,0,0,6,6,7,0,0,10
akjhnbnjanndggbcegmdggfjjclohjpo,Accessibility,3,0,0,3,0,0,0,7,7,6,1,0,12
mfnjjaepidhpfefdbjibbjdfkhicknpb,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,2
ejlpdggljbilpbpegpemlioncoakcimk,Accessibility,0,0,0,0,1,0,0,8,9,8,1,0,10
mbkdgaippnfnmcfdjkagjmbomhmdjjlb,Accessibility,1,0,0,1,0,0,0,5,4,6,0,0,7
gphjkkbkmaiccfnhcoiibpkfpmpnkfeb,Accessibility,0,0,0,0,0,0,0,4,3,7,0,0,9
aeblekonbpcjmpcmodmonjcgdcdemdig,Accessibility,0,0,0,0,0,0,0,6,3,5,0,0,15
inhefjomnpfkkegfklclbjhkifmpkkmn,Accessibility,0,0,0,0,0,0,0,2,6,3,0,0,8
epianflclchieodjedoampbgdblbpldm,Accessibility,1,0,0,2,0,0,0,4,5,3,1,0,8
cmedmlmcjgoofigkcnfldefbkgdnhndb,Accessibility,1,0,0,1,1,0,0,3,5,4,1,0,5
iekijanpfmnhhpkabojigmglmmfgknoa,Accessibility,2,1,0,1,1,0,0,3,2,4,0,0,7
ccfpbbkdocgnnhifmicmcaafmolagdja,Accessibility,0,0,0,0,0,0,0,5,7,5,1,0,7
pmgkjjpbajhkehjmopponglohmidpppg,Accessibility,0,0,0,1,0,0,0,7,6,4,0,0,9
fkgbbcpdghmahjidddepeighkcdlihmp,Accessibility,0,0,0,0,0,0,0,4,6,4,0,0,7
fbcohnmimjicjdomonkcbcpbpnhggkip,Accessibility,1,0,0,1,0,0,0,7,5,3,0,0,9
dceefkagippahflahjkiapelilbalpmo,Accessibility,1,0,0,1,1,0,1,3,2,3,1,0,5
