ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
ahhjkfcneijonkihlcplndcnlpofjaip,3,0,0,0,0,0,0,0,0,0,0,0
ajoigckelmnkcjajbeinpkmbndeiokdg,2,0,0,0,0,0,0,0,0,0,0,0
cblhgnnnpnonkonnfcfkfhhkoldjpdno,0,0,0,2,0,0,0,0,0,0,0,0
bgncebpfndilgfppdiioooijnfpakkmd,0,0,0,0,0,0,0,0,0,0,0,0
bojaimdehmobfclgomphpgbmmhmfnedn,0,0,0,6,0,0,0,0,0,0,0,0
bdfjlgeedonjpohgpclaadidbpliajfn,0,0,0,0,0,0,0,0,0,0,0,0
bcjfhbahclaolcbkdkckdnnenfeakhbk,0,0,0,0,0,0,0,0,0,0,0,0
cdafelflmnppkmabioccepjnelidmgkn,0,0,0,0,0,0,0,0,0,0,0,0
bfhppikdcimobhjoeegacpgbmicneomg,0,0,0,0,0,0,0,0,0,0,0,0
aielpglolpaoioddanigimgedbcegdpb,0,0,0,0,0,0,0,0,0,0,0,0
apjobfoepllmlejkgnbcjfhjjkahjnkc,0,0,0,0,0,0,0,0,0,0,0,0
anccajidinkdncpkhbbmgljhfjdgmhcb,15,0,0,0,0,0,0,0,0,0,0,0
ahhgdmkmcgahbkcbmlkpmmamemlkajaf,0,0,0,0,0,0,0,0,0,0,0,0
bldfdpnmijncfmaokfjgdmcjdhafihoh,0,0,0,6,0,0,0,0,0,0,0,0
agcooeallbahjpbefplagodpgfkigcde,0,0,0,0,0,0,0,0,0,0,0,0
cdglopknokgppkjpopdlbmaafliplclc,0,0,0,0,0,0,0,0,0,0,0,0
afpbjjgbdimpioenaedcjgkaigggcdpp,0,0,0,0,0,0,0,0,0,0,0,0
bhkgemjdepodofcnmekdobmmbifemhkc,0,0,0,0,0,0,0,0,0,0,0,0
cbpmbifffiggcmoipaafjmkmmjicojfl,0,0,0,0,0,0,0,0,0,0,0,0
bcagbbkmockgkkdggjimkijinbabcapp,0,0,0,0,0,0,0,0,0,0,0,0
anfmgjkkbagjfdejhbjdiapgkbhpigpm,0,0,0,0,0,0,0,0,0,0,0,0
acdccagfnnkklfpgdiinndjeijdjamfj,0,0,0,0,0,0,0,0,0,0,0,0
cefolneiegnjbgokhijojphgpaolmcaj,0,0,0,0,0,0,0,0,0,0,0,0
apgeooocopnncglmnlngfpgggkmlcldf,0,0,0,0,0,0,0,0,0,0,0,0
amdphkoacncjbkidcehbkhikmapncbpa,4,0,0,0,0,0,0,0,0,0,0,0
aciombdipochlnkbpcbgdpjffcfdbggi,0,0,0,0,0,0,0,0,0,0,0,0
aalfjmbodjfagkhoomamjapkinnakmma,0,0,0,0,0,0,0,0,0,0,0,0
aandijfnnfdgfgccdofaeadakilokdkn,0,0,0,0,0,0,0,0,0,0,0,0
ceefjjghfcgpaoaajgmbcpholamapagc,0,0,0,0,0,0,0,0,0,0,0,0
anfeclolbndpadfamppgbgnmhpkboiod,1,0,0,0,0,0,0,0,0,0,0,0
bielmjcfdikdfnakkfiljafaapnblkjc,0,0,0,0,0,0,0,0,0,0,0,0
bablhonojcgncmcdjlijlghbjliiolee,0,0,0,0,0,0,0,0,0,0,0,0
abkahmibdbbpbhnkkaaidcjadgijggln,0,0,0,0,0,0,0,0,0,0,0,0
acpdlcmcncnckgfhlkeappnoehpnmgoi,0,0,0,0,0,0,0,0,0,0,0,0
aopobbpejbinaakalfongpgajeokeeja,8,0,0,0,0,0,0,0,0,0,0,0
